contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expiry,optionType
IBIT250207C00028000,2025-01-30 19:14:31+00:00,28.0,32.15,29.7,29.85,20.0,103,2.3750040624999995,True,2025-02-07,C
IBIT250207C00029000,2025-01-30 19:14:31+00:00,29.0,31.15,28.7,28.85,19.0,79,2.2734418164062498,True,2025-02-07,C
IBIT250207C00030000,2025-01-31 16:09:25+00:00,30.0,29.98,27.7,27.85,4.0,762,2.1718795703125,True,2025-02-07,C
IBIT250207C00031000,2025-01-31 19:06:41+00:00,31.0,27.4,26.7,26.85,1.0,50,2.07031732421875,True,2025-02-07,C
IBIT250207C00032000,2025-01-31 19:09:51+00:00,32.0,26.3,25.7,25.85,16.0,29,1.9765626171875001,True,2025-02-07,C
IBIT250207C00034000,2025-01-31 19:09:51+00:00,34.0,24.3,23.7,23.85,1.0,22,1.7968760156249999,True,2025-02-07,C
IBIT250207C00035000,2025-01-31 16:02:40+00:00,35.0,25.05,22.7,22.85,3.0,53,1.703126484375,True,2025-02-07,C
IBIT250207C00037000,2025-01-28 17:13:48+00:00,37.0,21.75,20.7,20.85,5.0,6,1.53515857421875,True,2025-02-07,C
IBIT250207C00038000,2025-01-28 18:22:28+00:00,38.0,20.7,19.7,19.85,9.0,9,1.453127734375,True,2025-02-07,C
IBIT250207C00039000,2025-01-31 17:28:49+00:00,39.0,20.8,18.75,18.9,3.0,51,1.5078149609375,True,2025-02-07,C
IBIT250207C00040000,2025-01-31 17:56:32+00:00,40.0,19.67,17.75,17.9,3.0,36,1.421877890625,True,2025-02-07,C
IBIT250207C00041000,2025-01-30 15:36:33+00:00,41.0,19.45,16.75,16.9,17.0,17,1.3398470507812497,True,2025-02-07,C
IBIT250207C00042000,2025-01-27 20:50:28+00:00,42.0,15.75,15.75,15.9,1.0,1,1.2578162109375,True,2025-02-07,C
IBIT250207C00044000,2025-01-27 17:13:50+00:00,44.0,12.88,13.75,13.9,2.0,5,1.1015669921875002,True,2025-02-07,C
IBIT250207C00045000,2025-01-27 20:50:39+00:00,45.0,14.85,12.75,12.9,6.0,272,1.0234423828125,True,2025-02-07,C
IBIT250207C00046000,2025-01-27 18:42:13+00:00,46.0,10.6,11.75,11.9,7.0,17,0.94726615234375,True,2025-02-07,C
IBIT250207C00046500,2025-01-28 16:40:08+00:00,46.5,11.9,11.25,11.4,16.0,22,0.9101571484375,True,2025-02-07,C
