contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expiry,optionType
KW250321C00007500,2025-01-30 18:50:30+00:00,7.5,1.9,1.55,1.9,30.0,72.0,0.5742230078125,1.0,2025-03-21,C
KW250321C00010000,2024-12-23 17:38:29+00:00,10.0,0.76,0.0,0.55,3.0,11.0,0.68555001953125,0.0,2025-03-21,C
KW250321C00012500,2024-12-23 15:46:18+00:00,12.5,0.05,0.0,1.55,1.0,32.0,1.3300814746093748,0.0,2025-03-21,C
KW250321C00015000,2024-12-16 05:09:00+00:00,15.0,0.16,0.0,0.0,40.0,0.0,0.2500075,0.0,2025-03-21,C
KW250620C00007500,2024-12-30 15:19:25+00:00,7.5,2.65,1.65,2.15,,10.0,0.6025430371093752,1.0,2025-06-20,C
KW250620C00010000,2025-01-31 15:22:33+00:00,10.0,0.4,0.3,0.55,40.0,147.0,0.405279384765625,0.0,2025-06-20,C
KW250919C00010000,2025-01-16 18:03:39+00:00,10.0,0.71,0.5,0.8,,7.0,0.40430283203125,0.0,2025-09-19,C
KW250221P00010000,2025-01-16 15:45:14+00:00,10.0,1.2,0.0,1.15,,1.0,0.6035195898437502,1.0,2025-02-21,P
KW250221P00012500,2025-01-15 20:10:22+00:00,12.5,3.54,3.3,3.6,1.0,1.0,1.1015669921875002,1.0,2025-02-21,P
KW250321P00010000,2024-12-16 20:39:58+00:00,10.0,0.38,0.65,0.95,3.0,8.0,0.062509375,1.0,2025-03-21,P
KW250321P00012500,2024-12-16 05:09:00+00:00,12.5,1.68,1.55,2.15,7.0,0.0,1.0000000000000003e-05,1.0,2025-03-21,P
KW250620P00007500,2025-01-10 14:52:09+00:00,7.5,0.37,0.0,0.6,1.0,1.0,0.6025430371093752,0.0,2025-06-20,P
KW250620P00010000,2024-12-16 05:08:05+00:00,10.0,0.7,0.6,0.8,,1.0,1.0000000000000003e-05,1.0,2025-06-20,P
KW250620P00012500,2024-12-16 05:08:05+00:00,12.5,1.88,1.95,2.5,,7.0,1.0000000000000003e-05,1.0,2025-06-20,P
KW250620P00015000,2024-11-21 20:52:28+00:00,15.0,4.47,5.3,5.8,,2.0,1.0000000000000003e-05,1.0,2025-06-20,P
