contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expiry,optionType
QQQ250203C00451000,2025-01-27 20:59:37+00:00,451.0,63.43,70.21,72.09,1.0,1.0,1.1762736499023436,True,2025-02-03,C
QQQ250203C00505000,2025-01-31 21:03:42+00:00,505.0,16.89,16.47,18.19,106.0,185.0,0.39111937011718745,True,2025-02-03,C
QQQ250203C00510000,2025-01-31 21:07:20+00:00,510.0,12.21,11.77,13.11,914.0,278.0,0.29883513671874995,True,2025-02-03,C
QQQ250203C00512000,2025-01-31 21:04:07+00:00,512.0,10.2,10.59,10.77,26.0,557.0,0.2238847143554687,True,2025-02-03,C
QQQ250203C00513000,2025-01-31 20:46:01+00:00,513.0,10.76,9.69,9.86,78.0,432.0,0.2192460888671875,True,2025-02-03,C
QQQ250203C00514000,2025-01-31 21:01:05+00:00,514.0,9.12,8.82,8.98,57.0,463.0,0.21607229248046872,True,2025-02-03,C
QQQ250203C00515000,2025-01-31 21:13:02+00:00,515.0,7.96,7.96,8.11,594.0,982.0,0.21167780517578122,True,2025-02-03,C
QQQ250203C00516000,2025-01-31 21:12:51+00:00,516.0,7.19,7.14,7.27,221.0,496.0,0.20777159423828123,True,2025-02-03,C
QQQ250203C00517000,2025-01-31 21:11:06+00:00,517.0,6.48,6.33,6.46,273.0,678.0,0.20386538330078124,True,2025-02-03,C
QQQ250203C00518000,2025-01-31 21:14:50+00:00,518.0,5.63,5.56,5.68,1081.0,916.0,0.19983710327148438,True,2025-02-03,C
QQQ250203C00519000,2025-01-31 21:13:24+00:00,519.0,4.97,4.83,4.93,750.0,789.0,0.195320546875,True,2025-02-03,C
QQQ250203C00520000,2025-01-31 21:14:54+00:00,520.0,4.18,4.14,4.22,1659.0,1149.0,0.19068192138671874,True,2025-02-03,C
QQQ250203C00521000,2025-01-31 21:14:48+00:00,521.0,3.56,3.49,3.56,5473.0,1397.0,0.18628743408203124,True,2025-02-03,C
QQQ250203C00522000,2025-01-31 21:14:48+00:00,522.0,2.95,2.88,2.94,9723.0,1554.0,0.18116053222656248,True,2025-02-03,C
QQQ250203C00523000,2025-01-31 21:14:41+00:00,523.0,2.35,2.31,2.37,17359.0,1977.0,0.17554535400390625,False,2025-02-03,C
QQQ250203C00524000,2025-01-31 21:14:50+00:00,524.0,1.85,1.82,1.87,15805.0,1313.0,0.1706625903320313,False,2025-02-03,C
QQQ250203C00525000,2025-01-31 21:14:59+00:00,525.0,1.39,1.39,1.43,25780.0,2155.0,0.16553568847656253,False,2025-02-03,C
QQQ250203C00526000,2025-01-31 21:14:54+00:00,526.0,1.05,1.03,1.07,22928.0,1915.0,0.16138533935546873,False,2025-02-03,C
QQQ250203C00527000,2025-01-31 21:14:59+00:00,527.0,0.78,0.74,0.78,29978.0,1517.0,0.15796740478515625,False,2025-02-03,C
QQQ250203C00528000,2025-01-31 21:14:58+00:00,528.0,0.55,0.54,0.55,35634.0,1042.0,0.15454947021484378,False,2025-02-03,C
QQQ250203C00529000,2025-01-31 21:14:58+00:00,529.0,0.37,0.37,0.39,21553.0,1037.0,0.15332877929687502,False,2025-02-03,C
QQQ250203C00530000,2025-01-31 21:14:59+00:00,530.0,0.27,0.26,0.27,65096.0,3426.0,0.15235222656250003,False,2025-02-03,C
QQQ250203C00531000,2025-01-31 21:14:53+00:00,531.0,0.18,0.18,0.19,30215.0,1149.0,0.15284050292968754,False,2025-02-03,C
