contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expiry,optionType
GOOG250207C00120000,2025-02-04 20:30:10+00:00,120.0,88.7,0.0,0.0,2.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00125000,2025-01-31 16:42:43+00:00,125.0,81.55,0.0,0.0,3.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00130000,2025-02-03 15:24:20+00:00,130.0,73.48,0.0,0.0,1.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00135000,2025-02-04 16:21:56+00:00,135.0,72.52,0.0,0.0,10.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00140000,2025-02-04 18:53:33+00:00,140.0,66.51,0.0,0.0,3.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00145000,2025-02-03 17:55:28+00:00,145.0,58.9,0.0,0.0,2.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00150000,2025-02-04 20:54:58+00:00,150.0,59.0,0.0,0.0,5.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00155000,2025-01-28 19:41:58+00:00,155.0,42.07,0.0,0.0,5.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00160000,2025-02-04 20:58:00+00:00,160.0,48.05,0.0,0.0,3.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00165000,2025-02-04 20:54:15+00:00,165.0,43.28,0.0,0.0,5.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00167500,2025-02-04 20:47:21+00:00,167.5,40.75,0.0,0.0,36.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00170000,2025-02-04 20:59:42+00:00,170.0,38.08,0.0,0.0,14.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00172500,2025-02-04 17:42:57+00:00,172.5,33.66,0.0,0.0,1.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00175000,2025-02-04 20:57:45+00:00,175.0,33.35,0.0,0.0,56.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00177500,2025-02-04 20:46:13+00:00,177.5,30.8,0.0,0.0,28.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00180000,2025-02-04 20:59:35+00:00,180.0,28.6,0.0,0.0,62.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00182500,2025-02-04 20:48:30+00:00,182.5,25.85,0.0,0.0,15.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00185000,2025-02-04 20:43:37+00:00,185.0,23.33,0.0,0.0,157.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00187500,2025-02-04 20:27:27+00:00,187.5,20.85,0.0,0.0,71.0,0,1.0000000000000003e-05,True,2025-02-07,C
GOOG250207C00190000,2025-02-04 20:57:56+00:00,190.0,19.1,0.0,0.0,518.0,0,1.0000000000000003e-05,True,2025-02-07,C
