contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expiry,optionType
VST250207C00085000,2025-01-28 15:31:09+00:00,85.0,58.0,0.0,0.0,,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00095000,2025-01-28 15:31:09+00:00,95.0,48.0,0.0,0.0,,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00100000,2025-02-03 16:26:08+00:00,100.0,69.52,0.0,0.0,2.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00105000,2025-02-03 16:26:08+00:00,105.0,64.52,0.0,0.0,2.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00109000,2025-02-03 16:26:20+00:00,109.0,60.55,0.0,0.0,2.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00110000,2025-01-31 20:18:00+00:00,110.0,59.38,0.0,0.0,3.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00115000,2025-02-04 15:58:59+00:00,115.0,53.15,0.0,0.0,1.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00116000,2025-02-03 17:45:43+00:00,116.0,51.45,0.0,0.0,2.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00118000,2025-02-03 18:26:42+00:00,118.0,49.59,0.0,0.0,2.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00119000,2025-01-28 15:15:38+00:00,119.0,25.25,0.0,0.0,,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00120000,2025-01-28 15:12:02+00:00,120.0,24.75,0.0,0.0,3.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00125000,2025-01-15 15:09:17+00:00,125.0,52.45,0.0,0.0,1.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00126000,2025-01-27 17:07:07+00:00,126.0,17.45,0.0,0.0,,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00127000,2025-01-29 14:55:29+00:00,127.0,28.26,0.0,0.0,20.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00128000,2025-01-30 15:01:49+00:00,128.0,37.18,0.0,0.0,,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00129000,2025-01-30 15:07:58+00:00,129.0,37.5,0.0,0.0,10.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00130000,2025-02-05 15:02:21+00:00,130.0,42.02,0.0,0.0,1.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00131000,2025-01-28 20:28:40+00:00,131.0,17.81,0.0,0.0,,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00132000,2025-01-29 15:17:09+00:00,132.0,22.45,0.0,0.0,,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00133000,2025-01-28 17:48:41+00:00,133.0,12.5,0.0,0.0,,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00134000,2025-01-30 17:04:12+00:00,134.0,38.9,0.0,0.0,11.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00135000,2025-02-05 19:21:02+00:00,135.0,40.5,0.0,0.0,1.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00136000,2025-02-05 20:14:31+00:00,136.0,37.23,0.0,0.0,2.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00137000,2025-02-05 18:34:04+00:00,137.0,37.7,0.0,0.0,4.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00138000,2025-02-04 20:51:41+00:00,138.0,30.6,0.0,0.0,2.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00139000,2025-02-05 20:16:42+00:00,139.0,35.17,0.0,0.0,1.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00140000,2025-02-05 16:50:05+00:00,140.0,33.0,0.0,0.0,3.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00141000,2025-02-05 18:29:05+00:00,141.0,32.84,0.0,0.0,18.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00142000,2025-02-05 20:24:22+00:00,142.0,32.33,0.0,0.0,5.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00143000,2025-02-03 19:44:16+00:00,143.0,28.35,0.0,0.0,11.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00144000,2025-02-05 20:28:33+00:00,144.0,30.24,0.0,0.0,1.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00145000,2025-02-05 20:14:51+00:00,145.0,28.5,0.0,0.0,3.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00146000,2025-02-05 16:44:48+00:00,146.0,26.18,0.0,0.0,9.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00147000,2025-02-05 19:13:24+00:00,147.0,27.68,0.0,0.0,3.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00148000,2025-02-05 16:19:33+00:00,148.0,24.3,0.0,0.0,1.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00149000,2025-02-05 18:34:06+00:00,149.0,25.9,0.0,0.0,6.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00150000,2025-02-05 20:04:22+00:00,150.0,25.0,0.0,0.0,193.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00152500,2025-02-05 18:43:01+00:00,152.5,22.41,0.0,0.0,14.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00155000,2025-02-05 19:59:31+00:00,155.0,19.5,0.0,0.0,5.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00157500,2025-02-05 20:07:21+00:00,157.5,16.3,0.0,0.0,64.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00160000,2025-02-05 20:53:14+00:00,160.0,11.95,0.0,0.0,88.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00162500,2025-02-05 19:29:30+00:00,162.5,13.48,0.0,0.0,2091.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00165000,2025-02-05 20:34:58+00:00,165.0,8.56,0.0,0.0,574.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00167500,2025-02-05 20:58:17+00:00,167.5,5.8,0.0,0.0,2185.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00170000,2025-02-05 20:59:23+00:00,170.0,4.4,0.0,0.0,645.0,0,1.0000000000000003e-05,True,2025-02-07,C
VST250207C00172500,2025-02-05 20:59:49+00:00,172.5,3.2,0.0,0.0,973.0,0,0.015634843750000002,False,2025-02-07,C
VST250207C00175000,2025-02-05 20:59:03+00:00,175.0,2.23,0.0,0.0,4249.0,0,0.062509375,False,2025-02-07,C
VST250207C00177500,2025-02-05 20:57:58+00:00,177.5,1.5,0.0,0.0,440.0,0,0.12500875,False,2025-02-07,C
VST250207C00180000,2025-02-05 20:59:59+00:00,180.0,1.06,0.0,0.0,4321.0,0,0.12500875,False,2025-02-07,C
VST250207C00182500,2025-02-05 20:59:29+00:00,182.5,0.61,0.0,0.0,315.0,0,0.2500075,False,2025-02-07,C
VST250207C00185000,2025-02-05 20:59:31+00:00,185.0,0.36,0.0,0.0,448.0,0,0.2500075,False,2025-02-07,C
VST250207C00187500,2025-02-05 19:45:16+00:00,187.5,0.38,0.0,0.0,565.0,0,0.2500075,False,2025-02-07,C
VST250207C00190000,2025-02-05 20:55:58+00:00,190.0,0.1,0.0,0.0,243.0,0,0.2500075,False,2025-02-07,C
VST250207C00192500,2025-02-05 20:35:12+00:00,192.5,0.11,0.0,0.0,472.0,0,0.2500075,False,2025-02-07,C
VST250207C00195000,2025-02-05 20:11:44+00:00,195.0,0.15,0.0,0.0,50.0,0,0.500005,False,2025-02-07,C
VST250207C00197500,2025-02-05 19:30:20+00:00,197.5,0.09,0.0,0.0,13.0,0,0.500005,False,2025-02-07,C
VST250207C00200000,2025-02-05 20:55:32+00:00,200.0,0.04,0.0,0.0,442.0,0,0.500005,False,2025-02-07,C
VST250207C00202500,2025-02-05 19:14:54+00:00,202.5,0.02,0.0,0.0,3.0,0,0.500005,False,2025-02-07,C
VST250207C00205000,2025-02-05 19:21:04+00:00,205.0,0.05,0.0,0.0,7.0,0,0.500005,False,2025-02-07,C
VST250207C00207500,2025-02-05 14:33:44+00:00,207.5,0.23,0.0,0.0,1.0,0,0.500005,False,2025-02-07,C
VST250207C00210000,2025-02-05 20:37:55+00:00,210.0,0.03,0.0,0.0,10.0,0,0.500005,False,2025-02-07,C
VST250207C00212500,2025-02-04 20:39:11+00:00,212.5,0.01,0.0,0.0,1.0,0,0.500005,False,2025-02-07,C
VST250207C00215000,2025-02-05 14:33:44+00:00,215.0,0.18,0.0,0.0,1.0,0,0.500005,False,2025-02-07,C
VST250207C00217500,2025-02-03 20:35:32+00:00,217.5,0.05,0.0,0.0,1.0,0,0.500005,False,2025-02-07,C
VST250207C00220000,2025-02-04 15:58:54+00:00,220.0,0.08,0.0,0.0,129.0,0,0.500005,False,2025-02-07,C
VST250207C00222500,2025-01-27 15:35:28+00:00,222.5,0.1,0.0,0.0,,0,0.500005,False,2025-02-07,C
VST250207C00225000,2025-01-30 17:59:48+00:00,225.0,0.2,0.0,0.0,2.0,0,0.500005,False,2025-02-07,C
VST250207C00230000,2025-02-03 17:01:35+00:00,230.0,0.05,0.0,0.0,10.0,0,0.500005,False,2025-02-07,C
VST250207C00232500,2025-02-04 15:47:07+00:00,232.5,0.4,0.0,0.0,1.0,0,0.500005,False,2025-02-07,C
VST250207C00235000,2025-02-05 19:49:06+00:00,235.0,0.01,0.0,0.0,2.0,0,0.500005,False,2025-02-07,C
