contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expiry,optionType
NVDA250207C00050000,2025-02-06 19:29:36+00:00,50.0,77.65,77.65,79.25,2.0,105.0,9.984378759765626,True,2025-02-07,C
NVDA250207C00055000,2025-02-05 19:30:03+00:00,55.0,68.4,72.65,74.75,2.0,77.0,5.812502734375,True,2025-02-07,C
NVDA250207C00060000,2025-02-05 14:49:55+00:00,60.0,68.33,67.65,69.25,10.0,144.0,8.226567358398436,True,2025-02-07,C
NVDA250207C00065000,2025-02-06 18:18:14+00:00,65.0,62.95,62.65,64.25,5.0,9.0,7.457031928710938,True,2025-02-07,C
NVDA250207C00070000,2025-02-05 17:33:02+00:00,70.0,53.8,57.8,59.25,1.0,394.0,6.742189072265626,True,2025-02-07,C
NVDA250207C00075000,2025-02-05 20:42:38+00:00,75.0,48.7,52.75,54.2,146.0,447.0,5.9687525390625,True,2025-02-07,C
NVDA250207C00080000,2025-02-06 20:53:55+00:00,80.0,48.23,47.8,49.2,9.0,552.0,5.351565810546873,True,2025-02-07,C
NVDA250207C00085000,2025-02-06 20:24:06+00:00,85.0,43.11,42.75,44.4,80.0,192.0,5.101566123046874,True,2025-02-07,C
NVDA250207C00090000,2025-02-06 20:26:53+00:00,90.0,38.09,37.65,38.8,196.0,800.0,3.2578143554687498,True,2025-02-07,C
NVDA250207C00091000,2025-02-06 18:37:41+00:00,91.0,37.1,36.6,37.9,3.0,300.0,3.49218876953125,True,2025-02-07,C
NVDA250207C00092000,2025-02-06 14:37:56+00:00,92.0,34.2,35.6,37.5,2.0,72.0,4.417973227539061,True,2025-02-07,C
NVDA250207C00093000,2025-02-06 20:44:16+00:00,93.0,35.2,35.25,36.45,6.0,185.0,3.16406458984375,True,2025-02-07,C
NVDA250207C00094000,2025-02-05 17:33:01+00:00,94.0,29.85,33.6,34.95,3.0,61.0,3.3281266796874993,True,2025-02-07,C
NVDA250207C00095000,2025-02-06 14:53:40+00:00,95.0,31.8,32.65,33.9,2.0,677.0,3.1171897070312498,True,2025-02-07,C
NVDA250207C00096000,2025-02-06 16:45:57+00:00,96.0,31.05,31.6,33.05,14.0,206.0,3.3281266796874993,True,2025-02-07,C
NVDA250207C00097000,2025-02-05 19:53:06+00:00,97.0,29.85,30.6,31.9,2.0,154.0,2.933596416015625,True,2025-02-07,C
NVDA250207C00098000,2025-02-05 19:53:06+00:00,98.0,27.85,30.3,31.2,1.0,296.0,2.3750040624999995,True,2025-02-07,C
NVDA250207C00099000,2025-02-06 18:20:31+00:00,99.0,29.18,28.6,30.1,30.0,133.0,3.1171897070312498,True,2025-02-07,C
NVDA250207C00100000,2025-02-06 19:47:30+00:00,100.0,27.1,28.35,28.8,235.0,2832.0,2.4062539843749997,True,2025-02-07,C
NVDA250207C00101000,2025-02-06 19:40:39+00:00,101.0,26.3,26.6,28.85,83.0,163.0,2.0156299609375,True,2025-02-07,C
NVDA250207C00102000,2025-02-06 20:12:58+00:00,102.0,25.77,26.45,27.3,39.0,186.0,2.4335976660156247,True,2025-02-07,C
NVDA250207C00103000,2025-02-06 20:23:01+00:00,103.0,25.28,24.6,26.3,15.0,373.0,2.9804712988281246,True,2025-02-07,C
NVDA250207C00104000,2025-02-06 19:53:01+00:00,104.0,23.45,23.6,25.15,41.0,750.0,2.699222001953125,True,2025-02-07,C
NVDA250207C00105000,2025-02-06 20:44:16+00:00,105.0,23.2,22.85,24.6,118.0,1917.0,1.734376328125,True,2025-02-07,C
NVDA250207C00106000,2025-02-06 19:56:06+00:00,106.0,21.55,21.6,23.05,102.0,544.0,2.3750040624999995,True,2025-02-07,C
NVDA250207C00107000,2025-02-06 20:44:51+00:00,107.0,21.15,20.6,22.3,7.0,716.0,2.5742223144531247,True,2025-02-07,C
NVDA250207C00108000,2025-02-06 20:22:03+00:00,108.0,20.25,20.3,21.7,148.0,1105.0,2.1210984472656245,True,2025-02-07,C
NVDA250207C00109000,2025-02-06 20:38:31+00:00,109.0,19.28,19.3,19.85,136.0,932.0,1.7890635546875,True,2025-02-07,C
NVDA250207C00110000,2025-02-06 20:58:50+00:00,110.0,18.75,18.3,18.85,803.0,4746.0,1.7070327148437499,True,2025-02-07,C
NVDA250207C00111000,2025-02-06 20:59:15+00:00,111.0,17.7,17.3,17.85,153.0,3197.0,1.625001875,True,2025-02-07,C
NVDA250207C00112000,2025-02-06 20:41:00+00:00,112.0,16.7,15.8,16.9,260.0,1763.0,1.625001875,True,2025-02-07,C
NVDA250207C00113000,2025-02-06 20:36:52+00:00,113.0,15.1,15.3,15.8,187.0,2869.0,1.37109689453125,True,2025-02-07,C
NVDA250207C00114000,2025-02-06 20:57:00+00:00,114.0,14.7,14.35,14.8,932.0,5019.0,1.29297228515625,True,2025-02-07,C
NVDA250207C00115000,2025-02-06 20:59:06+00:00,115.0,13.65,13.35,13.85,3338.0,24098.0,1.3007847460937496,True,2025-02-07,C
NVDA250207C00116000,2025-02-06 20:58:42+00:00,116.0,12.75,12.35,12.85,932.0,7235.0,1.21875390625,True,2025-02-07,C
NVDA250207C00117000,2025-02-06 20:57:23+00:00,117.0,11.65,11.35,11.85,1720.0,8261.0,1.1367230664062502,True,2025-02-07,C
NVDA250207C00118000,2025-02-06 20:59:18+00:00,118.0,10.78,10.3,10.85,3276.0,9050.0,1.0546922265625,True,2025-02-07,C
NVDA250207C00119000,2025-02-06 20:59:30+00:00,119.0,9.76,9.6,9.85,3620.0,7775.0,0.7578149218750001,True,2025-02-07,C
NVDA250207C00120000,2025-02-06 20:59:56+00:00,120.0,8.75,8.6,8.9,17769.0,28819.0,0.7421900781249999,True,2025-02-07,C
NVDA250207C00121000,2025-02-06 20:59:46+00:00,121.0,7.8,7.6,7.95,7236.0,18245.0,0.710940390625,True,2025-02-07,C
NVDA250207C00122000,2025-02-06 20:59:28+00:00,122.0,6.85,6.65,6.95,11623.0,21857.0,0.6660189648437502,True,2025-02-07,C
NVDA250207C00123000,2025-02-06 20:59:54+00:00,123.0,5.85,5.7,6.0,13561.0,18735.0,0.6367223828125,True,2025-02-07,C
NVDA250207C00124000,2025-02-06 20:59:58+00:00,124.0,4.95,4.8,5.0,22940.0,23059.0,0.5908244042968751,True,2025-02-07,C
NVDA250207C00125000,2025-02-06 20:59:57+00:00,125.0,4.0,4.0,4.1,104778.0,60827.0,0.5927775097656252,True,2025-02-07,C
NVDA250207C00126000,2025-02-06 20:59:57+00:00,126.0,3.2,3.2,3.3,85998.0,24609.0,0.584965087890625,True,2025-02-07,C
NVDA250207C00127000,2025-02-06 20:59:56+00:00,127.0,2.52,2.5,2.55,157542.0,57069.0,0.577152666015625,True,2025-02-07,C
NVDA250207C00128000,2025-02-06 20:59:57+00:00,128.0,1.9,1.88,1.9,188528.0,33927.0,0.569340244140625,True,2025-02-07,C
NVDA250207C00129000,2025-02-06 20:59:58+00:00,129.0,1.36,1.35,1.37,107725.0,28947.0,0.5629926513671876,False,2025-02-07,C
NVDA250207C00130000,2025-02-06 20:59:59+00:00,130.0,0.92,0.92,0.93,230358.0,192219.0,0.55273884765625,False,2025-02-07,C
NVDA250207C00131000,2025-02-06 20:59:57+00:00,131.0,0.58,0.59,0.6,51341.0,70694.0,0.543949873046875,False,2025-02-07,C
NVDA250207C00132000,2025-02-06 20:59:59+00:00,132.0,0.37,0.36,0.37,32305.0,25995.0,0.5380905566406251,False,2025-02-07,C
NVDA250207C00133000,2025-02-06 20:59:53+00:00,133.0,0.21,0.21,0.22,26719.0,18197.0,0.5351608984375,False,2025-02-07,C
NVDA250207C00134000,2025-02-06 20:59:55+00:00,134.0,0.13,0.12,0.13,17910.0,14869.0,0.5390671093750001,False,2025-02-07,C
NVDA250207C00135000,2025-02-06 20:59:59+00:00,135.0,0.07,0.07,0.08,31457.0,52032.0,0.5507857421875001,False,2025-02-07,C
NVDA250207C00136000,2025-02-06 20:59:46+00:00,136.0,0.05,0.04,0.05,8161.0,13781.0,0.5625043750000001,False,2025-02-07,C
NVDA250207C00137000,2025-02-06 20:59:14+00:00,137.0,0.03,0.03,0.04,4997.0,39713.0,0.5976602734375001,False,2025-02-07,C
NVDA250207C00138000,2025-02-06 20:58:54+00:00,138.0,0.03,0.02,0.03,3391.0,13766.0,0.6250037500000001,False,2025-02-07,C
NVDA250207C00139000,2025-02-06 20:59:47+00:00,139.0,0.02,0.02,0.03,2297.0,9197.0,0.6796907031250001,False,2025-02-07,C
NVDA250207C00140000,2025-02-06 20:59:25+00:00,140.0,0.02,0.01,0.02,14424.0,63418.0,0.6875031250000001,False,2025-02-07,C
NVDA250207C00141000,2025-02-06 20:59:52+00:00,141.0,0.01,0.01,0.02,3970.0,39242.0,0.73437765625,False,2025-02-07,C
NVDA250207C00142000,2025-02-06 20:54:00+00:00,142.0,0.02,0.01,0.02,5056.0,42233.0,0.7812521875,False,2025-02-07,C
NVDA250207C00143000,2025-02-06 20:49:46+00:00,143.0,0.01,0.01,0.02,1098.0,6565.0,0.8281267187499999,False,2025-02-07,C
NVDA250207C00144000,2025-02-06 20:53:29+00:00,144.0,0.02,0.01,0.02,1251.0,6912.0,0.87500125,False,2025-02-07,C
NVDA250207C00145000,2025-02-06 20:58:22+00:00,145.0,0.02,0.01,0.02,2774.0,23056.0,0.92187578125,False,2025-02-07,C
NVDA250207C00146000,2025-02-06 20:55:54+00:00,146.0,0.01,0.01,0.02,2151.0,28500.0,0.9687503125,False,2025-02-07,C
NVDA250207C00147000,2025-02-06 20:25:17+00:00,147.0,0.01,0.01,0.02,333.0,11900.0,1.015629921875,False,2025-02-07,C
NVDA250207C00148000,2025-02-06 20:42:17+00:00,148.0,0.01,0.01,0.02,834.0,12320.0,1.0625046875000002,False,2025-02-07,C
NVDA250207C00149000,2025-02-06 20:14:27+00:00,149.0,0.02,0.01,0.02,894.0,5485.0,1.109379453125,False,2025-02-07,C
NVDA250207C00150000,2025-02-06 20:58:41+00:00,150.0,0.02,0.01,0.02,2969.0,40603.0,1.15625421875,False,2025-02-07,C
NVDA250207C00152500,2025-02-06 20:59:59+00:00,152.5,0.01,0.01,0.02,3591.0,16580.0,1.2656286718749998,False,2025-02-07,C
NVDA250207C00155000,2025-02-06 20:57:20+00:00,155.0,0.01,0.0,0.01,3192.0,24148.0,1.21875390625,False,2025-02-07,C
NVDA250207C00157500,2025-02-06 20:54:53+00:00,157.5,0.01,0.0,0.02,725.0,13547.0,1.40625296875,False,2025-02-07,C
NVDA250207C00160000,2025-02-06 20:57:28+00:00,160.0,0.01,0.0,0.01,1549.0,22209.0,1.4375028125,False,2025-02-07,C
NVDA250207C00162500,2025-02-06 14:33:48+00:00,162.5,0.01,0.0,0.01,33.0,5803.0,1.5000025,False,2025-02-07,C
NVDA250207C00165000,2025-02-06 17:37:53+00:00,165.0,0.01,0.0,0.01,13.0,13209.0,1.5937520312499998,False,2025-02-07,C
NVDA250207C00167500,2025-02-05 14:30:13+00:00,167.5,0.01,0.0,0.01,13.0,5934.0,1.6875015625,False,2025-02-07,C
NVDA250207C00170000,2025-02-06 19:08:32+00:00,170.0,0.01,0.0,0.01,2.0,25299.0,1.75000125,False,2025-02-07,C
NVDA250207C00172500,2025-02-06 14:30:00+00:00,172.5,0.01,0.0,0.01,11.0,6437.0,1.875000625,False,2025-02-07,C
NVDA250207C00175000,2025-02-06 17:21:32+00:00,175.0,0.01,0.0,0.01,5.0,16668.0,1.9375003125,False,2025-02-07,C
NVDA250207C00177500,2025-02-04 15:20:30+00:00,177.5,0.01,0.0,0.01,42.0,7257.0,2.000005,False,2025-02-07,C
NVDA250207C00180000,2025-02-06 14:49:33+00:00,180.0,0.01,0.0,0.01,13.0,11951.0,2.0625048437499998,False,2025-02-07,C
