contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,volume,openInterest,impliedVolatility,inTheMoney,expiry,optionType
SOFI250214C00007000,2025-02-03 15:52:37+00:00,7.0,8.55,7.3,8.45,20.0,30,5.218753476562499,True,2025-02-14,C
SOFI250214C00007500,2025-02-03 14:41:37+00:00,7.5,7.6,7.1,8.3,2.0,9,3.9843750390625,True,2025-02-14,C
SOFI250214C00008000,2025-02-05 15:50:33+00:00,8.0,7.46,6.3,7.75,2.0,126,2.9140652148437503,True,2025-02-14,C
SOFI250214C00009000,2025-02-04 14:30:47+00:00,9.0,5.84,5.75,6.6,2.0,180,3.02343994140625,True,2025-02-14,C
SOFI250214C00010000,2025-02-07 20:55:57+00:00,10.0,4.97,4.25,5.5,23.0,210,3.3242204394531245,True,2025-02-14,C
SOFI250214C00010500,2025-02-06 17:23:32+00:00,10.5,4.35,3.5,4.95,30.0,72,2.933596416015625,True,2025-02-14,C
SOFI250214C00011000,2025-02-06 19:46:31+00:00,11.0,4.0,3.8,4.85,1.0,28,2.4062539843749997,True,2025-02-14,C
SOFI250214C00011500,2025-02-07 16:14:39+00:00,11.5,3.6,2.89,4.0,11.0,60,1.09375453125,True,2025-02-14,C
SOFI250214C00012000,2025-02-07 20:16:02+00:00,12.0,2.9,2.5,3.6,180.0,263,1.3203158984374999,True,2025-02-14,C
SOFI250214C00012500,2025-02-07 17:40:32+00:00,12.5,2.69,2.2,2.89,17.0,170,1.12109814453125,True,2025-02-14,C
SOFI250214C00013000,2025-02-07 20:18:39+00:00,13.0,1.92,1.77,1.98,191.0,240,0.773439765625,True,2025-02-14,C
SOFI250214C00013500,2025-02-07 20:55:51+00:00,13.5,1.5,1.4,1.59,143.0,372,0.6445348046875,True,2025-02-14,C
SOFI250214C00014000,2025-02-07 20:58:50+00:00,14.0,1.06,0.93,1.07,952.0,1079,0.6093789062500001,True,2025-02-14,C
SOFI250214C00014500,2025-02-07 20:59:24+00:00,14.5,0.68,0.68,0.74,664.0,1495,0.58789474609375,True,2025-02-14,C
SOFI250214C00015000,2025-02-07 20:59:27+00:00,15.0,0.4,0.4,0.42,4010.0,4620,0.5488326367187502,False,2025-02-14,C
SOFI250214C00015500,2025-02-07 20:59:59+00:00,15.5,0.22,0.21,0.23,9734.0,4652,0.5429733203125001,False,2025-02-14,C
SOFI250214C00016000,2025-02-07 20:59:47+00:00,16.0,0.12,0.11,0.12,9264.0,10926,0.5546919531250001,False,2025-02-14,C
SOFI250214C00016500,2025-02-07 20:59:32+00:00,16.5,0.06,0.06,0.07,2737.0,9746,0.585941640625,False,2025-02-14,C
SOFI250214C00017000,2025-02-07 20:59:27+00:00,17.0,0.04,0.04,0.05,2181.0,9985,0.648441015625,False,2025-02-14,C
SOFI250214C00017500,2025-02-07 20:59:35+00:00,17.5,0.04,0.03,0.04,879.0,4419,0.710940390625,False,2025-02-14,C
SOFI250214C00018000,2025-02-07 20:50:02+00:00,18.0,0.03,0.02,0.03,2401.0,8028,0.7578149218750001,False,2025-02-14,C
SOFI250214C00018500,2025-02-07 20:54:34+00:00,18.5,0.02,0.02,0.03,288.0,5226,0.8437515624999999,False,2025-02-14,C
SOFI250214C00019000,2025-02-07 20:30:45+00:00,19.0,0.02,0.01,0.02,143.0,3118,0.85937640625,False,2025-02-14,C
SOFI250214C00019500,2025-02-07 20:28:12+00:00,19.5,0.01,0.01,0.02,119.0,1320,0.937500625,False,2025-02-14,C
SOFI250214C00020000,2025-02-07 20:52:58+00:00,20.0,0.02,0.01,0.02,199.0,2574,1.000005,False,2025-02-14,C
SOFI250214C00020500,2025-02-07 14:30:06+00:00,20.5,0.04,0.01,0.04,5.0,427,1.15625421875,False,2025-02-14,C
SOFI250214C00021000,2025-02-07 20:34:25+00:00,21.0,0.02,0.01,0.02,235.0,1332,1.140629296875,False,2025-02-14,C
